Carton;Estado;Linea A;Linea B;Linea C;Comprador;Localidad;Pago
1001;DISPONIBLE;04 - 25 - 33 - 39 - 53 - 59 - 67 - 68 - 81 - 83;18 - 31 - 33 - 39 - 46 - 61 - 69 - 72 - 74 - 87;;;;
1002;DISPONIBLE;02 - 05 - 21 - 50 - 53 - 63 - 72 - 79 - 82 - 89;21 - 25 - 28 - 39 - 40 - 56 - 58 - 76 - 79 - 82;;;;
1003;DISPONIBLE;11 - 20 - 25 - 33 - 35 - 37 - 40 - 43 - 46 - 53;02 - 09 - 10 - 23 - 25 - 27 - 41 - 47 - 54 - 76;;;;
1004;DISPONIBLE;11 - 12 - 19 - 42 - 43 - 62 - 71 - 75 - 78 - 84;03 - 10 - 22 - 40 - 59 - 66 - 68 - 78 - 86 - 87;;;;
1005;DISPONIBLE;07 - 27 - 44 - 55 - 71 - 73 - 74 - 76 - 81 - 88;10 - 31 - 32 - 35 - 64 - 69 - 71 - 75 - 79 - 89;;;;
1006;DISPONIBLE;18 - 27 - 30 - 35 - 37 - 45 - 51 - 67 - 71 - 80;18 - 19 - 27 - 30 - 36 - 44 - 60 - 65 - 72 - 81;;;;
1007;DISPONIBLE;03 - 11 - 15 - 36 - 44 - 54 - 55 - 61 - 67 - 86;11 - 16 - 23 - 26 - 29 - 36 - 47 - 51 - 77 - 88;;;;
1008;DISPONIBLE;05 - 12 - 13 - 22 - 23 - 35 - 46 - 50 - 56 - 58;01 - 15 - 20 - 21 - 26 - 50 - 52 - 55 - 80 - 89;;;;
1009;DISPONIBLE;05 - 08 - 21 - 29 - 34 - 49 - 50 - 58 - 67 - 78;12 - 23 - 25 - 38 - 52 - 57 - 74 - 76 - 78 - 87;;;;
1010;DISPONIBLE;03 - 06 - 19 - 23 - 29 - 53 - 55 - 64 - 70 - 72;03 - 07 - 09 - 27 - 34 - 54 - 60 - 75 - 78 - 80;;;;
1011;DISPONIBLE;06 - 33 - 36 - 41 - 44 - 64 - 65 - 69 - 80 - 85;08 - 10 - 21 - 29 - 37 - 59 - 64 - 77 - 85 - 86;;;;
1012;DISPONIBLE;05 - 11 - 28 - 34 - 35 - 37 - 45 - 57 - 73 - 87;01 - 06 - 16 - 57 - 66 - 68 - 79 - 80 - 81 - 89;;;;
1013;DISPONIBLE;01 - 07 - 21 - 31 - 37 - 38 - 54 - 82 - 86 - 87;19 - 36 - 38 - 40 - 45 - 60 - 71 - 72 - 79 - 86;;;;
1014;DISPONIBLE;05 - 10 - 12 - 14 - 36 - 41 - 48 - 64 - 82 - 85;18 - 20 - 31 - 46 - 51 - 52 - 67 - 70 - 79 - 84;;;;
1015;DISPONIBLE;03 - 13 - 14 - 18 - 21 - 24 - 50 - 51 - 60 - 73;09 - 13 - 33 - 34 - 41 - 43 - 56 - 68 - 73 - 89;;;;
1016;DISPONIBLE;03 - 08 - 09 - 10 - 13 - 48 - 70 - 75 - 76 - 89;06 - 09 - 15 - 38 - 39 - 41 - 43 - 47 - 55 - 73;;;;
1017;DISPONIBLE;02 - 07 - 30 - 32 - 42 - 43 - 55 - 64 - 70 - 81;06 - 11 - 17 - 22 - 29 - 31 - 36 - 60 - 76 - 78;;;;
1018;DISPONIBLE;05 - 13 - 27 - 29 - 44 - 62 - 72 - 76 - 77 - 87;04 - 08 - 15 - 23 - 25 - 31 - 42 - 47 - 62 - 76;;;;
1019;DISPONIBLE;03 - 20 - 21 - 23 - 51 - 52 - 55 - 56 - 63 - 74;13 - 33 - 48 - 50 - 60 - 68 - 76 - 77 - 88 - 89;;;;
1020;DISPONIBLE;06 - 26 - 32 - 38 - 48 - 61 - 62 - 75 - 87 - 89;04 - 11 - 22 - 26 - 41 - 48 - 64 - 67 - 72 - 80;;;;
1021;DISPONIBLE;03 - 20 - 21 - 25 - 29 - 35 - 37 - 39 - 50 - 60;10 - 22 - 25 - 37 - 40 - 46 - 71 - 74 - 80 - 88;;;;
1022;DISPONIBLE;05 - 29 - 41 - 55 - 58 - 62 - 65 - 74 - 77 - 85;13 - 20 - 35 - 48 - 51 - 58 - 68 - 74 - 77 - 88;;;;
1023;DISPONIBLE;02 - 05 - 19 - 24 - 26 - 36 - 65 - 66 - 80 - 90;07 - 13 - 31 - 32 - 45 - 61 - 62 - 75 - 83 - 87;;;;
1024;DISPONIBLE;16 - 47 - 49 - 52 - 57 - 60 - 71 - 82 - 83 - 89;11 - 17 - 55 - 56 - 66 - 68 - 69 - 73 - 76 - 77;;;;
1025;DISPONIBLE;05 - 08 - 14 - 17 - 40 - 46 - 48 - 50 - 64 - 66;04 - 14 - 18 - 37 - 49 - 51 - 56 - 70 - 73 - 90;;;;
1026;DISPONIBLE;23 - 41 - 42 - 53 - 65 - 66 - 76 - 83 - 87 - 88;08 - 17 - 29 - 30 - 36 - 55 - 62 - 69 - 70 - 71;;;;
1027;DISPONIBLE;03 - 11 - 33 - 36 - 37 - 42 - 50 - 52 - 72 - 76;08 - 16 - 24 - 30 - 38 - 43 - 48 - 61 - 63 - 89;;;;
1028;DISPONIBLE;15 - 19 - 22 - 57 - 63 - 68 - 79 - 81 - 88 - 89;14 - 15 - 39 - 51 - 54 - 58 - 73 - 82 - 88 - 90;;;;
1029;DISPONIBLE;10 - 22 - 26 - 52 - 55 - 56 - 57 - 62 - 72 - 86;05 - 10 - 14 - 29 - 53 - 59 - 63 - 66 - 85 - 90;;;;
1030;DISPONIBLE;12 - 35 - 48 - 52 - 56 - 58 - 81 - 82 - 86 - 89;09 - 10 - 11 - 24 - 35 - 54 - 68 - 74 - 78 - 83;;;;
1031;DISPONIBLE;29 - 32 - 35 - 43 - 66 - 71 - 73 - 74 - 83 - 86;01 - 04 - 08 - 26 - 33 - 34 - 48 - 53 - 68 - 77;;;;
1032;DISPONIBLE;18 - 19 - 27 - 34 - 46 - 47 - 48 - 53 - 59 - 70;26 - 28 - 31 - 37 - 41 - 44 - 46 - 66 - 81 - 83;;;;
1033;DISPONIBLE;01 - 03 - 04 - 13 - 23 - 49 - 52 - 63 - 70 - 80;28 - 34 - 50 - 53 - 58 - 62 - 63 - 76 - 79 - 85;;;;
1034;DISPONIBLE;02 - 09 - 14 - 19 - 25 - 26 - 29 - 41 - 53 - 75;10 - 26 - 29 - 45 - 62 - 65 - 72 - 81 - 85 - 90;;;;
1035;DISPONIBLE;05 - 06 - 11 - 26 - 36 - 46 - 47 - 50 - 74 - 83;07 - 36 - 43 - 45 - 57 - 66 - 69 - 70 - 87 - 88;;;;
1036;DISPONIBLE;09 - 16 - 18 - 21 - 47 - 63 - 69 - 73 - 74 - 83;02 - 22 - 32 - 37 - 51 - 53 - 55 - 56 - 73 - 75;;;;
1037;DISPONIBLE;03 - 08 - 33 - 37 - 39 - 41 - 62 - 74 - 75 - 76;02 - 09 - 17 - 21 - 31 - 37 - 55 - 60 - 76 - 81;;;;
1038;DISPONIBLE;02 - 16 - 19 - 22 - 40 - 59 - 71 - 72 - 80 - 87;04 - 42 - 46 - 48 - 52 - 61 - 65 - 71 - 79 - 85;;;;
