Carton;Estado;Linea A;Linea B;Linea C;Comprador;Localidad;Pago
30001;DISPONIBLE;05 - 14 - 17 - 18 - 45 - 47 - 48 - 57 - 73 - 82;05 - 13 - 16 - 49 - 54 - 62 - 69 - 70 - 87 - 89;;;;
30002;DISPONIBLE;02 - 11 - 19 - 24 - 28 - 33 - 56 - 62 - 72 - 83;03 - 12 - 20 - 21 - 24 - 26 - 27 - 65 - 68 - 74;;;;
30003;DISPONIBLE;11 - 20 - 36 - 47 - 55 - 69 - 73 - 78 - 88 - 90;13 - 18 - 22 - 27 - 36 - 42 - 50 - 55 - 58 - 63;;;;
30004;DISPONIBLE;33 - 34 - 50 - 58 - 61 - 64 - 78 - 88 - 89 - 90;15 - 44 - 46 - 61 - 62 - 65 - 67 - 72 - 76 - 80;;;;
30005;DISPONIBLE;07 - 23 - 41 - 49 - 55 - 63 - 64 - 73 - 84 - 88;18 - 22 - 25 - 51 - 53 - 62 - 66 - 72 - 74 - 85;;;;
30006;DISPONIBLE;07 - 41 - 46 - 54 - 55 - 63 - 67 - 71 - 83 - 87;01 - 09 - 10 - 32 - 34 - 66 - 71 - 73 - 82 - 84;;;;
30007;DISPONIBLE;04 - 14 - 15 - 18 - 34 - 50 - 55 - 58 - 59 - 63;01 - 11 - 19 - 23 - 39 - 42 - 51 - 53 - 77 - 84;;;;
30008;DISPONIBLE;19 - 32 - 35 - 40 - 43 - 49 - 61 - 62 - 64 - 67;01 - 02 - 04 - 08 - 11 - 27 - 28 - 47 - 68 - 75;;;;
30009;DISPONIBLE;04 - 21 - 22 - 30 - 34 - 37 - 64 - 74 - 78 - 87;11 - 25 - 26 - 27 - 55 - 56 - 62 - 68 - 79 - 90;;;;
30010;DISPONIBLE;08 - 28 - 29 - 34 - 37 - 47 - 80 - 83 - 84 - 87;07 - 09 - 24 - 35 - 43 - 45 - 47 - 51 - 59 - 76;;;;
30011;DISPONIBLE;14 - 28 - 32 - 36 - 42 - 70 - 74 - 76 - 83 - 90;04 - 11 - 17 - 22 - 31 - 52 - 58 - 68 - 69 - 75;;;;
30012;DISPONIBLE;06 - 14 - 20 - 27 - 39 - 64 - 78 - 79 - 81 - 82;11 - 17 - 31 - 35 - 38 - 64 - 68 - 71 - 85 - 90;;;;
30013;DISPONIBLE;09 - 10 - 23 - 34 - 35 - 39 - 52 - 67 - 73 - 88;02 - 10 - 17 - 36 - 40 - 49 - 51 - 58 - 64 - 85;;;;
30014;DISPONIBLE;23 - 34 - 43 - 56 - 68 - 73 - 79 - 80 - 85 - 86;15 - 23 - 24 - 53 - 57 - 59 - 60 - 63 - 78 - 90;;;;
30015;DISPONIBLE;04 - 14 - 39 - 43 - 44 - 46 - 56 - 58 - 62 - 82;21 - 25 - 34 - 38 - 45 - 65 - 66 - 81 - 82 - 87;;;;
30016;DISPONIBLE;02 - 15 - 17 - 18 - 33 - 36 - 39 - 60 - 85 - 87;09 - 18 - 30 - 32 - 33 - 39 - 45 - 67 - 79 - 89;;;;
30017;DISPONIBLE;09 - 14 - 20 - 23 - 35 - 36 - 46 - 54 - 79 - 89;01 - 22 - 26 - 30 - 41 - 51 - 58 - 65 - 69 - 72;;;;
30018;DISPONIBLE;03 - 07 - 30 - 39 - 43 - 53 - 56 - 60 - 69 - 84;08 - 29 - 36 - 55 - 58 - 63 - 64 - 72 - 78 - 82;;;;
30019;DISPONIBLE;12 - 34 - 41 - 50 - 53 - 56 - 62 - 64 - 84 - 88;05 - 10 - 11 - 44 - 54 - 63 - 67 - 70 - 81 - 86;;;;
30020;DISPONIBLE;07 - 09 - 14 - 26 - 44 - 53 - 57 - 65 - 67 - 84;04 - 07 - 12 - 13 - 26 - 27 - 41 - 53 - 62 - 68;;;;
30021;DISPONIBLE;01 - 04 - 10 - 11 - 14 - 15 - 69 - 74 - 79 - 86;09 - 13 - 19 - 21 - 27 - 31 - 42 - 51 - 57 - 66;;;;
30022;DISPONIBLE;11 - 12 - 16 - 20 - 32 - 33 - 64 - 73 - 79 - 89;02 - 06 - 09 - 12 - 21 - 25 - 54 - 56 - 85 - 86;;;;
30023;DISPONIBLE;22 - 31 - 37 - 55 - 56 - 59 - 71 - 72 - 76 - 83;14 - 29 - 38 - 42 - 49 - 68 - 70 - 72 - 82 - 87;;;;
