Carton;Estado;Linea A;Linea B;Linea C;Comprador;Localidad;Pago
2001;DISPONIBLE;01 - 03 - 07 - 35 - 37 - 46 - 50 - 59 - 72 - 75;08 - 15 - 20 - 21 - 36 - 56 - 65 - 66 - 72 - 82;;;;
2002;DISPONIBLE;01 - 07 - 13 - 16 - 21 - 41 - 45 - 78 - 79 - 86;10 - 14 - 21 - 33 - 52 - 54 - 55 - 73 - 77 - 83;;;;
2003;DISPONIBLE;08 - 17 - 28 - 50 - 51 - 63 - 64 - 76 - 79 - 82;14 - 27 - 36 - 39 - 42 - 47 - 49 - 52 - 53 - 84;;;;
2004;DISPONIBLE;03 - 23 - 27 - 28 - 34 - 51 - 63 - 66 - 73 - 88;23 - 28 - 61 - 66 - 67 - 75 - 82 - 84 - 85 - 87;;;;
2005;DISPONIBLE;06 - 22 - 27 - 33 - 46 - 61 - 71 - 83 - 86 - 88;01 - 04 - 05 - 06 - 18 - 48 - 56 - 73 - 77 - 88;;;;
2006;DISPONIBLE;07 - 20 - 32 - 33 - 38 - 49 - 50 - 69 - 80 - 81;17 - 19 - 40 - 41 - 47 - 50 - 52 - 62 - 70 - 85;;;;
2007;DISPONIBLE;02 - 04 - 07 - 15 - 28 - 39 - 50 - 71 - 84 - 89;04 - 12 - 19 - 20 - 33 - 53 - 69 - 76 - 80 - 82;;;;
2008;DISPONIBLE;07 - 14 - 31 - 39 - 44 - 52 - 57 - 64 - 85 - 89;01 - 10 - 14 - 15 - 29 - 31 - 39 - 46 - 66 - 78;;;;
2009;DISPONIBLE;12 - 20 - 28 - 36 - 41 - 46 - 60 - 79 - 80 - 83;26 - 34 - 37 - 40 - 41 - 57 - 58 - 60 - 63 - 77;;;;
2010;DISPONIBLE;06 - 20 - 30 - 33 - 37 - 45 - 62 - 71 - 76 - 78;07 - 17 - 25 - 35 - 48 - 57 - 58 - 62 - 71 - 87;;;;
2011;DISPONIBLE;17 - 19 - 54 - 61 - 62 - 69 - 75 - 77 - 84 - 89;14 - 18 - 24 - 35 - 39 - 63 - 68 - 69 - 75 - 78;;;;
