Carton;Estado;Linea A;Linea B;Linea C;Comprador;Localidad;Pago
2001;DISPONIBLE;03 - 07 - 09 - 14 - 22 - 25 - 44 - 48 - 52 - 82;01 - 04 - 23 - 42 - 47 - 60 - 62 - 72 - 85 - 87;;;;
2002;DISPONIBLE;06 - 10 - 12 - 13 - 19 - 36 - 40 - 82 - 87 - 89;01 - 30 - 41 - 48 - 51 - 54 - 60 - 61 - 71 - 72;;;;
2003;DISPONIBLE;01 - 10 - 26 - 33 - 48 - 49 - 54 - 70 - 72 - 85;11 - 12 - 14 - 18 - 30 - 32 - 53 - 57 - 58 - 61;;;;
2004;DISPONIBLE;19 - 38 - 43 - 44 - 48 - 55 - 67 - 73 - 86 - 87;11 - 14 - 18 - 43 - 48 - 65 - 72 - 80 - 85 - 89;;;;
2005;DISPONIBLE;10 - 28 - 35 - 36 - 50 - 51 - 57 - 76 - 88 - 90;08 - 09 - 16 - 28 - 37 - 57 - 61 - 64 - 76 - 78;;;;
2006;DISPONIBLE;26 - 28 - 32 - 41 - 48 - 50 - 55 - 65 - 82 - 88;08 - 14 - 15 - 24 - 30 - 53 - 57 - 68 - 71 - 77;;;;
2007;DISPONIBLE;06 - 07 - 13 - 40 - 51 - 53 - 54 - 67 - 77 - 87;11 - 21 - 27 - 39 - 42 - 43 - 48 - 58 - 81 - 90;;;;
2008;DISPONIBLE;01 - 14 - 33 - 35 - 36 - 41 - 43 - 61 - 71 - 90;10 - 20 - 30 - 33 - 38 - 42 - 45 - 59 - 76 - 78;;;;
2009;DISPONIBLE;07 - 11 - 20 - 38 - 43 - 58 - 79 - 80 - 84 - 89;07 - 14 - 32 - 43 - 44 - 58 - 61 - 83 - 84 - 87;;;;
2010;DISPONIBLE;03 - 11 - 38 - 42 - 50 - 51 - 55 - 70 - 76 - 90;04 - 06 - 11 - 33 - 37 - 39 - 40 - 44 - 54 - 60;;;;
2011;DISPONIBLE;02 - 12 - 27 - 48 - 50 - 58 - 61 - 63 - 66 - 68;09 - 27 - 28 - 33 - 50 - 64 - 67 - 75 - 82 - 89;;;;
2012;DISPONIBLE;03 - 06 - 26 - 30 - 46 - 55 - 64 - 69 - 73 - 87;15 - 16 - 21 - 28 - 29 - 48 - 53 - 61 - 71 - 79;;;;
2013;DISPONIBLE;06 - 10 - 48 - 53 - 63 - 64 - 70 - 71 - 89 - 90;06 - 12 - 21 - 22 - 24 - 30 - 40 - 57 - 87 - 90;;;;
2014;DISPONIBLE;03 - 06 - 19 - 62 - 67 - 71 - 76 - 81 - 83 - 84;06 - 18 - 24 - 29 - 34 - 40 - 44 - 51 - 63 - 72;;;;
2015;DISPONIBLE;06 - 11 - 14 - 17 - 19 - 28 - 45 - 46 - 62 - 67;09 - 12 - 16 - 25 - 31 - 33 - 37 - 66 - 76 - 80;;;;
2016;DISPONIBLE;06 - 12 - 26 - 31 - 34 - 36 - 45 - 76 - 77 - 80;11 - 20 - 30 - 35 - 36 - 42 - 65 - 74 - 77 - 86;;;;
2017;DISPONIBLE;14 - 22 - 33 - 34 - 39 - 40 - 62 - 63 - 80 - 89;04 - 07 - 11 - 30 - 37 - 48 - 59 - 60 - 66 - 89;;;;
2018;DISPONIBLE;01 - 03 - 19 - 36 - 58 - 62 - 71 - 75 - 78 - 90;03 - 07 - 16 - 21 - 22 - 31 - 47 - 51 - 62 - 72;;;;
2019;DISPONIBLE;01 - 02 - 04 - 06 - 13 - 19 - 73 - 74 - 81 - 84;02 - 22 - 24 - 27 - 35 - 44 - 45 - 51 - 67 - 69;;;;
2020;DISPONIBLE;10 - 20 - 41 - 43 - 47 - 54 - 60 - 63 - 67 - 79;01 - 14 - 18 - 26 - 31 - 36 - 44 - 48 - 73 - 86;;;;
2021;DISPONIBLE;16 - 21 - 26 - 29 - 37 - 42 - 60 - 65 - 72 - 80;08 - 14 - 21 - 26 - 35 - 36 - 41 - 44 - 67 - 69;;;;
2022;DISPONIBLE;01 - 20 - 36 - 68 - 71 - 73 - 80 - 86 - 89 - 90;19 - 38 - 42 - 45 - 47 - 66 - 79 - 81 - 82 - 89;;;;
2023;DISPONIBLE;08 - 32 - 43 - 47 - 48 - 56 - 63 - 71 - 77 - 85;17 - 19 - 20 - 22 - 28 - 44 - 48 - 51 - 64 - 74;;;;
2024;DISPONIBLE;02 - 04 - 24 - 25 - 28 - 39 - 47 - 57 - 70 - 78;06 - 14 - 39 - 58 - 66 - 69 - 72 - 73 - 83 - 90;;;;
2025;DISPONIBLE;15 - 21 - 47 - 57 - 62 - 64 - 65 - 73 - 76 - 86;06 - 21 - 30 - 38 - 48 - 58 - 63 - 66 - 72 - 82;;;;
2026;DISPONIBLE;05 - 27 - 37 - 38 - 51 - 60 - 62 - 67 - 77 - 90;12 - 19 - 30 - 32 - 59 - 74 - 75 - 77 - 81 - 84;;;;
2027;DISPONIBLE;10 - 18 - 21 - 25 - 32 - 43 - 46 - 51 - 73 - 87;01 - 04 - 12 - 21 - 30 - 53 - 64 - 69 - 70 - 76;;;;
2028;DISPONIBLE;20 - 23 - 25 - 30 - 31 - 48 - 52 - 54 - 63 - 81;14 - 23 - 26 - 28 - 29 - 46 - 49 - 60 - 69 - 78;;;;
