Carton;Estado;Linea A;Linea B;Linea C;Comprador;Localidad;Pago
3001;DISPONIBLE;26 - 33 - 35 - 36 - 43 - 53 - 55 - 61 - 67 - 82;11 - 14 - 36 - 41 - 42 - 50 - 57 - 71 - 86 - 88;;;;
3002;DISPONIBLE;03 - 10 - 12 - 29 - 38 - 47 - 55 - 57 - 62 - 83;01 - 11 - 18 - 32 - 37 - 38 - 51 - 58 - 67 - 68;;;;
3003;DISPONIBLE;01 - 05 - 20 - 48 - 51 - 55 - 67 - 73 - 84 - 88;07 - 08 - 28 - 43 - 45 - 46 - 78 - 81 - 87 - 90;;;;
3004;DISPONIBLE;06 - 40 - 46 - 48 - 53 - 55 - 60 - 74 - 86 - 88;30 - 31 - 38 - 39 - 52 - 58 - 67 - 73 - 88 - 90;;;;
3005;DISPONIBLE;11 - 18 - 36 - 38 - 42 - 54 - 56 - 68 - 69 - 72;01 - 03 - 18 - 19 - 26 - 27 - 37 - 38 - 47 - 65;;;;
3006;DISPONIBLE;08 - 14 - 22 - 30 - 31 - 39 - 41 - 48 - 64 - 86;01 - 06 - 10 - 15 - 39 - 48 - 50 - 53 - 58 - 79;;;;
3007;DISPONIBLE;03 - 07 - 13 - 21 - 35 - 48 - 49 - 54 - 55 - 61;07 - 25 - 35 - 36 - 44 - 54 - 70 - 71 - 73 - 84;;;;
3008;DISPONIBLE;12 - 15 - 36 - 41 - 44 - 50 - 62 - 63 - 80 - 82;06 - 13 - 32 - 34 - 36 - 40 - 68 - 71 - 82 - 90;;;;
3009;DISPONIBLE;13 - 30 - 36 - 41 - 63 - 66 - 73 - 82 - 83 - 88;02 - 06 - 14 - 43 - 48 - 50 - 51 - 72 - 86 - 88;;;;
3010;DISPONIBLE;05 - 12 - 26 - 40 - 45 - 50 - 57 - 68 - 77 - 89;08 - 10 - 16 - 33 - 48 - 75 - 76 - 77 - 82 - 86;;;;
3011;DISPONIBLE;04 - 07 - 13 - 16 - 30 - 36 - 64 - 72 - 80 - 86;01 - 08 - 17 - 23 - 40 - 51 - 57 - 59 - 67 - 71;;;;
3012;DISPONIBLE;11 - 17 - 29 - 36 - 48 - 65 - 66 - 68 - 69 - 85;21 - 33 - 54 - 55 - 57 - 65 - 68 - 69 - 75 - 82;;;;
3013;DISPONIBLE;12 - 13 - 21 - 34 - 39 - 45 - 69 - 70 - 78 - 80;15 - 31 - 38 - 43 - 49 - 50 - 54 - 59 - 73 - 80;;;;
3014;DISPONIBLE;10 - 23 - 32 - 38 - 53 - 78 - 81 - 86 - 89 - 90;02 - 10 - 22 - 32 - 40 - 43 - 59 - 68 - 83 - 89;;;;
3015;DISPONIBLE;04 - 07 - 24 - 37 - 58 - 60 - 69 - 71 - 73 - 90;03 - 19 - 21 - 23 - 33 - 38 - 41 - 45 - 71 - 86;;;;
3016;DISPONIBLE;05 - 11 - 30 - 33 - 48 - 50 - 55 - 60 - 76 - 78;32 - 37 - 46 - 49 - 68 - 72 - 76 - 80 - 83 - 85;;;;
