Carton;Estado;Linea A;Linea B;Linea C;Comprador;Localidad;Pago
1001;DISPONIBLE;02 - 15 - 19 - 23 - 36 - 61 - 69 - 73 - 81 - 83;07 - 09 - 19 - 26 - 32 - 42 - 78 - 79 - 89 - 90;;;;
1002;DISPONIBLE;04 - 09 - 11 - 21 - 26 - 28 - 43 - 72 - 82 - 87;10 - 13 - 18 - 30 - 40 - 43 - 48 - 65 - 68 - 82;;;;
1003;DISPONIBLE;03 - 05 - 14 - 29 - 33 - 38 - 46 - 48 - 56 - 85;18 - 21 - 34 - 40 - 56 - 59 - 74 - 81 - 82 - 86;;;;
1004;DISPONIBLE;03 - 12 - 15 - 26 - 27 - 31 - 32 - 51 - 64 - 78;05 - 08 - 11 - 15 - 25 - 48 - 51 - 59 - 73 - 84;;;;
1005;DISPONIBLE;10 - 16 - 22 - 28 - 39 - 46 - 55 - 58 - 77 - 90;13 - 23 - 51 - 53 - 62 - 65 - 67 - 74 - 85 - 89;;;;
1006;DISPONIBLE;01 - 18 - 41 - 43 - 49 - 55 - 59 - 77 - 79 - 87;04 - 11 - 21 - 23 - 38 - 51 - 70 - 79 - 83 - 88;;;;
1007;DISPONIBLE;01 - 19 - 20 - 29 - 30 - 44 - 50 - 78 - 86 - 88;05 - 10 - 19 - 23 - 26 - 42 - 54 - 56 - 58 - 78;;;;
1008;DISPONIBLE;06 - 11 - 12 - 19 - 21 - 34 - 41 - 63 - 73 - 74;01 - 02 - 14 - 17 - 20 - 22 - 26 - 46 - 69 - 78;;;;
1009;DISPONIBLE;09 - 26 - 29 - 30 - 40 - 67 - 73 - 78 - 83 - 85;03 - 12 - 13 - 23 - 33 - 40 - 44 - 88 - 89 - 90;;;;
1010;DISPONIBLE;13 - 24 - 27 - 33 - 53 - 62 - 68 - 75 - 82 - 84;07 - 10 - 15 - 16 - 42 - 51 - 61 - 77 - 79 - 82;;;;
1011;DISPONIBLE;15 - 18 - 22 - 26 - 41 - 42 - 49 - 60 - 65 - 89;10 - 14 - 16 - 29 - 38 - 42 - 54 - 65 - 70 - 85;;;;
1012;DISPONIBLE;06 - 15 - 20 - 28 - 34 - 48 - 55 - 56 - 59 - 61;02 - 08 - 21 - 22 - 29 - 42 - 43 - 49 - 63 - 74;;;;
1013;DISPONIBLE;03 - 15 - 18 - 19 - 24 - 47 - 70 - 72 - 80 - 84;05 - 08 - 20 - 22 - 30 - 50 - 51 - 61 - 68 - 70;;;;
1014;DISPONIBLE;07 - 10 - 17 - 29 - 31 - 37 - 50 - 80 - 85 - 89;16 - 36 - 44 - 45 - 47 - 50 - 53 - 55 - 59 - 85;;;;
