Carton;Estado;Linea A;Linea B;Linea C;Comprador;Localidad;Pago
0751;DISPONIBLE;02 - 09 - 14 - 25 - 35 - 40 - 65 - 72 - 80 - 87;22 - 34 - 38 - 41 - 44 - 48 - 53 - 65 - 77 - 86;;;;
0752;DISPONIBLE;13 - 16 - 38 - 39 - 40 - 46 - 60 - 71 - 77 - 90;10 - 14 - 26 - 30 - 37 - 39 - 50 - 54 - 56 - 83;;;;
0753;DISPONIBLE;04 - 31 - 40 - 46 - 54 - 65 - 69 - 76 - 82 - 85;03 - 17 - 19 - 53 - 73 - 78 - 82 - 86 - 87 - 89;;;;
0754;DISPONIBLE;14 - 21 - 26 - 33 - 39 - 48 - 50 - 51 - 58 - 80;14 - 36 - 42 - 44 - 60 - 62 - 65 - 70 - 79 - 82;;;;
0755;DISPONIBLE;09 - 22 - 29 - 42 - 48 - 68 - 69 - 71 - 82 - 87;09 - 15 - 39 - 49 - 50 - 53 - 60 - 79 - 87 - 89;;;;
0756;DISPONIBLE;11 - 18 - 21 - 30 - 32 - 40 - 45 - 53 - 61 - 69;07 - 20 - 21 - 35 - 36 - 53 - 63 - 64 - 70 - 71;;;;
0757;DISPONIBLE;12 - 27 - 46 - 50 - 54 - 59 - 62 - 66 - 73 - 88;24 - 39 - 40 - 52 - 67 - 68 - 69 - 75 - 82 - 86;;;;
0758;DISPONIBLE;07 - 14 - 17 - 47 - 50 - 66 - 68 - 69 - 72 - 81;17 - 20 - 31 - 32 - 35 - 40 - 51 - 62 - 63 - 79;;;;
0759;DISPONIBLE;06 - 10 - 13 - 14 - 48 - 53 - 67 - 68 - 80 - 84;05 - 12 - 16 - 27 - 31 - 38 - 44 - 47 - 74 - 89;;;;
0760;DISPONIBLE;25 - 28 - 32 - 34 - 40 - 65 - 66 - 78 - 79 - 88;02 - 06 - 13 - 14 - 23 - 31 - 54 - 65 - 69 - 77;;;;
0761;DISPONIBLE;13 - 14 - 16 - 19 - 40 - 51 - 77 - 80 - 81 - 87;13 - 18 - 21 - 37 - 57 - 60 - 67 - 71 - 76 - 89;;;;
0762;DISPONIBLE;03 - 05 - 11 - 31 - 37 - 58 - 67 - 75 - 84 - 89;03 - 06 - 22 - 24 - 55 - 61 - 64 - 69 - 74 - 87;;;;
0763;DISPONIBLE;06 - 08 - 11 - 35 - 36 - 44 - 50 - 52 - 63 - 65;16 - 23 - 24 - 29 - 36 - 49 - 51 - 57 - 59 - 70;;;;
0764;DISPONIBLE;04 - 09 - 43 - 48 - 55 - 72 - 84 - 87 - 89 - 90;06 - 15 - 18 - 24 - 42 - 44 - 76 - 84 - 85 - 88;;;;
0765;DISPONIBLE;09 - 10 - 32 - 43 - 44 - 47 - 59 - 67 - 74 - 80;06 - 19 - 23 - 32 - 54 - 59 - 64 - 71 - 83 - 86;;;;
0766;DISPONIBLE;12 - 21 - 27 - 31 - 41 - 50 - 66 - 77 - 82 - 89;14 - 25 - 29 - 42 - 47 - 48 - 60 - 63 - 73 - 89;;;;
0767;DISPONIBLE;05 - 06 - 13 - 30 - 33 - 55 - 66 - 71 - 80 - 85;12 - 17 - 20 - 33 - 47 - 49 - 64 - 81 - 85 - 86;;;;
0768;DISPONIBLE;08 - 09 - 20 - 21 - 27 - 33 - 45 - 49 - 52 - 61;01 - 05 - 33 - 42 - 47 - 54 - 56 - 68 - 79 - 80;;;;
0769;DISPONIBLE;05 - 10 - 25 - 34 - 43 - 47 - 50 - 51 - 68 - 77;02 - 20 - 27 - 31 - 37 - 48 - 64 - 78 - 89 - 90;;;;
0770;DISPONIBLE;01 - 04 - 12 - 20 - 37 - 51 - 60 - 62 - 74 - 81;15 - 19 - 21 - 29 - 42 - 44 - 62 - 63 - 65 - 68;;;;
0771;DISPONIBLE;01 - 20 - 21 - 34 - 37 - 54 - 55 - 66 - 71 - 85;01 - 05 - 47 - 52 - 61 - 66 - 75 - 77 - 82 - 87;;;;
0772;DISPONIBLE;04 - 07 - 09 - 13 - 36 - 38 - 43 - 49 - 68 - 81;11 - 14 - 27 - 34 - 47 - 56 - 61 - 72 - 80 - 86;;;;
0773;DISPONIBLE;03 - 05 - 28 - 43 - 47 - 58 - 62 - 72 - 76 - 82;14 - 35 - 47 - 49 - 58 - 59 - 71 - 80 - 82 - 86;;;;
0774;DISPONIBLE;12 - 19 - 20 - 23 - 27 - 31 - 45 - 46 - 65 - 78;10 - 16 - 21 - 36 - 43 - 55 - 73 - 77 - 83 - 90;;;;
