Carton;Estado;Linea A;Linea B;Linea C;Comprador;Localidad;Pago
1001;DISPONIBLE;04 - 05 - 15 - 17 - 19 - 50 - 61 - 70 - 81 - 87;02 - 32 - 34 - 39 - 42 - 46 - 55 - 58 - 85 - 88;;;;
1002;DISPONIBLE;02 - 10 - 31 - 33 - 48 - 49 - 55 - 66 - 70 - 71;02 - 06 - 09 - 16 - 27 - 38 - 45 - 54 - 57 - 69;;;;
1003;DISPONIBLE;06 - 12 - 19 - 45 - 46 - 48 - 56 - 70 - 75 - 81;04 - 14 - 23 - 40 - 42 - 46 - 54 - 74 - 85 - 90;;;;
1004;DISPONIBLE;14 - 18 - 42 - 45 - 62 - 63 - 77 - 80 - 87 - 89;10 - 23 - 24 - 25 - 30 - 62 - 71 - 80 - 81 - 87;;;;
1005;DISPONIBLE;07 - 11 - 15 - 28 - 30 - 33 - 69 - 71 - 82 - 90;07 - 19 - 21 - 35 - 45 - 46 - 56 - 65 - 82 - 88;;;;
1006;DISPONIBLE;04 - 10 - 14 - 22 - 33 - 37 - 60 - 62 - 82 - 85;02 - 13 - 18 - 21 - 27 - 38 - 53 - 62 - 64 - 86;;;;
1007;DISPONIBLE;04 - 11 - 12 - 19 - 27 - 39 - 43 - 61 - 63 - 86;22 - 31 - 34 - 38 - 44 - 46 - 54 - 61 - 74 - 86;;;;
1008;DISPONIBLE;02 - 11 - 12 - 27 - 51 - 52 - 55 - 57 - 70 - 88;13 - 14 - 27 - 42 - 43 - 53 - 55 - 65 - 68 - 77;;;;
1009;DISPONIBLE;10 - 16 - 17 - 22 - 30 - 46 - 53 - 57 - 59 - 76;04 - 17 - 48 - 54 - 62 - 68 - 82 - 84 - 89 - 90;;;;
1010;DISPONIBLE;01 - 22 - 23 - 26 - 39 - 72 - 73 - 82 - 83 - 86;06 - 15 - 27 - 30 - 35 - 41 - 54 - 61 - 71 - 78;;;;
1011;DISPONIBLE;01 - 09 - 12 - 26 - 28 - 35 - 39 - 42 - 55 - 60;02 - 16 - 18 - 22 - 29 - 46 - 48 - 58 - 81 - 90;;;;
1012;DISPONIBLE;03 - 19 - 22 - 30 - 38 - 46 - 60 - 63 - 68 - 75;13 - 18 - 28 - 29 - 36 - 41 - 63 - 69 - 82 - 84;;;;
1013;DISPONIBLE;05 - 31 - 37 - 50 - 55 - 59 - 62 - 64 - 65 - 80;01 - 03 - 13 - 19 - 31 - 49 - 61 - 63 - 80 - 85;;;;
1014;DISPONIBLE;14 - 22 - 31 - 37 - 39 - 42 - 61 - 66 - 74 - 85;22 - 40 - 43 - 47 - 57 - 63 - 72 - 74 - 78 - 83;;;;
1015;DISPONIBLE;06 - 14 - 23 - 26 - 29 - 43 - 48 - 59 - 63 - 80;07 - 18 - 38 - 39 - 49 - 53 - 56 - 58 - 74 - 84;;;;
1016;DISPONIBLE;05 - 19 - 24 - 38 - 40 - 41 - 45 - 66 - 81 - 82;04 - 21 - 22 - 25 - 32 - 39 - 44 - 61 - 81 - 90;;;;
1017;DISPONIBLE;13 - 17 - 18 - 27 - 37 - 39 - 73 - 78 - 87 - 88;13 - 18 - 23 - 32 - 34 - 58 - 59 - 60 - 65 - 85;;;;
1018;DISPONIBLE;03 - 15 - 18 - 26 - 27 - 29 - 44 - 54 - 57 - 62;09 - 17 - 30 - 40 - 43 - 50 - 52 - 53 - 68 - 86;;;;
1019;DISPONIBLE;09 - 21 - 29 - 37 - 49 - 52 - 53 - 63 - 75 - 78;24 - 49 - 50 - 60 - 66 - 67 - 69 - 81 - 85 - 89;;;;
1020;DISPONIBLE;10 - 11 - 12 - 14 - 15 - 32 - 56 - 61 - 74 - 76;03 - 09 - 27 - 31 - 46 - 68 - 69 - 71 - 76 - 85;;;;
1021;DISPONIBLE;07 - 12 - 40 - 45 - 49 - 56 - 72 - 75 - 76 - 86;07 - 30 - 36 - 39 - 40 - 42 - 50 - 51 - 62 - 81;;;;
