Carton;Estado;Linea A;Linea B;Linea C;Comprador;Localidad;Pago
1501;DISPONIBLE;27 - 49 - 54 - 57 - 61 - 62 - 63 - 68 - 76 - 88;03 - 10 - 15 - 19 - 36 - 42 - 57 - 67 - 68 - 90;;;;
1502;DISPONIBLE;16 - 30 - 38 - 43 - 51 - 54 - 59 - 69 - 75 - 81;19 - 24 - 25 - 41 - 51 - 55 - 57 - 63 - 68 - 80;;;;
1503;DISPONIBLE;01 - 14 - 28 - 32 - 38 - 59 - 67 - 83 - 88 - 89;04 - 27 - 31 - 38 - 42 - 46 - 57 - 65 - 76 - 83;;;;
1504;DISPONIBLE;08 - 13 - 16 - 23 - 29 - 59 - 61 - 63 - 68 - 75;01 - 03 - 20 - 25 - 37 - 64 - 73 - 76 - 81 - 85;;;;
1505;DISPONIBLE;08 - 15 - 30 - 37 - 44 - 56 - 57 - 59 - 64 - 70;03 - 05 - 14 - 35 - 52 - 62 - 65 - 70 - 81 - 86;;;;
1506;DISPONIBLE;03 - 12 - 13 - 20 - 25 - 33 - 59 - 60 - 62 - 83;07 - 10 - 13 - 17 - 22 - 25 - 47 - 56 - 60 - 85;;;;
1507;DISPONIBLE;02 - 12 - 23 - 24 - 31 - 46 - 54 - 63 - 73 - 86;23 - 24 - 25 - 31 - 35 - 46 - 64 - 79 - 80 - 84;;;;
1508;DISPONIBLE;12 - 16 - 25 - 41 - 42 - 48 - 50 - 63 - 65 - 73;08 - 09 - 32 - 46 - 48 - 50 - 51 - 65 - 79 - 82;;;;
1509;DISPONIBLE;08 - 09 - 10 - 13 - 40 - 41 - 44 - 57 - 62 - 81;02 - 23 - 24 - 29 - 31 - 39 - 45 - 54 - 68 - 83;;;;
1510;DISPONIBLE;04 - 07 - 27 - 36 - 44 - 65 - 72 - 75 - 81 - 84;07 - 16 - 30 - 35 - 43 - 45 - 46 - 60 - 66 - 67;;;;
1511;DISPONIBLE;30 - 32 - 33 - 39 - 40 - 41 - 71 - 76 - 85 - 89;08 - 09 - 18 - 20 - 46 - 47 - 58 - 78 - 80 - 90;;;;
1512;DISPONIBLE;03 - 14 - 15 - 29 - 53 - 56 - 57 - 68 - 74 - 88;03 - 09 - 19 - 25 - 33 - 42 - 50 - 63 - 64 - 76;;;;
1513;DISPONIBLE;04 - 39 - 40 - 48 - 51 - 53 - 60 - 62 - 67 - 69;10 - 14 - 38 - 57 - 65 - 66 - 72 - 76 - 81 - 82;;;;
1514;DISPONIBLE;05 - 09 - 17 - 51 - 55 - 63 - 70 - 83 - 84 - 86;06 - 08 - 19 - 34 - 43 - 48 - 51 - 60 - 69 - 70;;;;
1515;DISPONIBLE;05 - 18 - 25 - 30 - 42 - 43 - 48 - 66 - 85 - 88;07 - 13 - 17 - 34 - 35 - 52 - 65 - 70 - 82 - 88;;;;
1516;DISPONIBLE;03 - 05 - 07 - 12 - 13 - 18 - 28 - 70 - 72 - 76;01 - 10 - 21 - 22 - 27 - 45 - 49 - 57 - 58 - 74;;;;
1517;DISPONIBLE;15 - 19 - 25 - 26 - 41 - 43 - 66 - 69 - 75 - 89;09 - 10 - 13 - 24 - 39 - 65 - 66 - 68 - 88 - 89;;;;
1518;DISPONIBLE;07 - 22 - 58 - 60 - 63 - 70 - 71 - 77 - 84 - 90;11 - 18 - 26 - 31 - 49 - 53 - 57 - 78 - 80 - 88;;;;
1519;DISPONIBLE;17 - 26 - 29 - 31 - 54 - 59 - 67 - 68 - 71 - 86;02 - 23 - 33 - 36 - 39 - 48 - 52 - 54 - 71 - 87;;;;
1520;DISPONIBLE;07 - 11 - 31 - 44 - 49 - 58 - 65 - 67 - 78 - 80;13 - 20 - 22 - 23 - 32 - 39 - 49 - 68 - 72 - 79;;;;
1521;DISPONIBLE;20 - 32 - 34 - 38 - 44 - 56 - 74 - 76 - 87 - 90;09 - 16 - 19 - 23 - 28 - 38 - 44 - 57 - 61 - 78;;;;
1522;DISPONIBLE;05 - 07 - 22 - 25 - 32 - 33 - 47 - 67 - 71 - 80;06 - 34 - 42 - 43 - 50 - 55 - 66 - 69 - 87 - 88;;;;
1523;DISPONIBLE;02 - 06 - 23 - 34 - 47 - 57 - 75 - 83 - 87 - 90;11 - 14 - 21 - 26 - 40 - 56 - 77 - 82 - 83 - 86;;;;
1524;DISPONIBLE;02 - 12 - 26 - 27 - 30 - 46 - 56 - 61 - 77 - 88;03 - 10 - 13 - 17 - 20 - 22 - 53 - 72 - 74 - 78;;;;
1525;DISPONIBLE;06 - 24 - 28 - 41 - 60 - 63 - 64 - 71 - 72 - 73;04 - 05 - 23 - 25 - 32 - 50 - 55 - 61 - 67 - 79;;;;
1526;DISPONIBLE;05 - 18 - 34 - 35 - 39 - 50 - 59 - 67 - 82 - 84;07 - 08 - 26 - 28 - 32 - 43 - 44 - 48 - 56 - 57;;;;
1527;DISPONIBLE;27 - 32 - 48 - 54 - 59 - 62 - 76 - 77 - 81 - 83;04 - 08 - 12 - 18 - 23 - 28 - 39 - 49 - 62 - 78;;;;
1528;DISPONIBLE;02 - 10 - 16 - 21 - 28 - 41 - 56 - 69 - 70 - 84;07 - 15 - 24 - 38 - 41 - 65 - 68 - 72 - 74 - 83;;;;
1529;DISPONIBLE;14 - 16 - 17 - 54 - 57 - 58 - 65 - 72 - 74 - 75;07 - 31 - 38 - 42 - 44 - 46 - 47 - 48 - 70 - 83;;;;
1530;DISPONIBLE;14 - 19 - 27 - 30 - 34 - 51 - 60 - 69 - 73 - 74;14 - 15 - 29 - 45 - 48 - 60 - 78 - 82 - 85 - 88;;;;
1531;DISPONIBLE;14 - 22 - 28 - 32 - 34 - 35 - 39 - 56 - 75 - 89;08 - 18 - 22 - 23 - 41 - 55 - 78 - 83 - 85 - 87;;;;
